H1              Banh                 40000      1000            1000                
h1              banh                 3000       1000            1000                
H3               keo                 700        30000           30000               
H3               keo                 700        30000           30000               
h4              ôt                   8000       988             988                 
h4              ôt                   8000       988             988                 
H3               keo                 700        30000           30000               
h5              le                   20000      90000           90000               
h4              ôt                   8000       988             988                 
H3               keo                 700        30000           30000               
h5              le                   20000      90000           90000               
h6              pe                   20000      20000           20000               
8               a                    10         10              10                  
8               a                    10         10              10                  
h9              b                    9          9               9                   
8               a                    10         10              10                  
h9              b                    9          9               9                   
c               c                    11         11              11                  
